"Data Source","World Development Indicators",

"Last Updated Date","2017-08-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bermuda","BMU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4","3","3","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","","",
"Bolivia","BOL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","300420","299420","298070","298780","299150","299510","299880","300240","302610","302970","307340","312700","313080","318430","323800","324160","329530","329890","335250","335620","340990","341360","341730","347170","346870","352030","352270","352500","354700","354550","357960","358310","362130","363510","366000","366840","368740","369820","370690","371430","371560","373110","366470","366170","369620","371120","373900","374850","376730","375160","375570","375960","376280","377045","","",
"Brazil","BRA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1505310","1559130","1615110","1660410","1703950","1750940","1795890","1852230","1937780","1953970","1996320","2028370","2058610","2100430","2134160","2160070","2185500","2200390","2225130","2242780","2258240","2281360","2288210","2299240","2310410","2340550","2357910","2376870","2394320","2416080","2449410","2467090","2494630","2514180","2584720","2590190","2595660","2601120","2607590","2614060","2634650","2658680","2684690","2721320","2724326","2727840","2716380","2735000","2735400","2734630","2753730","2756070","2788081","2825890","","",
"Barbados","BRB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","180","180","180","170","170","160","160","160","160","160","160","150","140","140","140","140","","",
"Brunei Darussalam","BRN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","210","210","210","240","240","230","230","240","240","240","190","180","180","180","180","170","150","150","150","140","140","130","130","120","120","120","120","120","120","110","110","110","110","110","100","100","100","100","100","100","110","110","110","110","110","103","114","114","134","134","134","134","144","144","","",
"Bhutan","BTN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3610","3630","3630","3650","3660","3680","3680","3700","3700","3820","3820","3850","3850","3920","3920","3980","4000","4000","4050","4130","4130","4180","4300","4440","4440","4440","4650","4600","4520","4540","5040","5040","5050","5090","5650","5700","5720","5720","5720","5300","5350","5350","5370","5840","5930","5770","5630","5213","5200","5200","5196","5196","5196","5256","","",
"Botswana","BWA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","260000","260000","260000","260000","260010","260010","260010","260010","260010","260010","260010","260020","260020","260020","260020","260020","260020","260020","260040","260040","260040","260060","260060","260060","260080","260080","260100","260100","260150","260210","259010","258510","259510","259960","259460","259460","259010","258310","258410","259510","258010","258460","257960","258270","258415","258030","257840","258810","259180","258610","259260","258870","258790","260010","","",
"Central African Republic","CAF","Agricultural land (sq. km)","AG.LND.AGRI.K2","","47380","47480","47560","47700","47800","47900","48000","48100","48200","48300","48400","48500","48600","48700","48900","49000","49100","49200","49300","49450","49450","49600","49700","49820","49830","50040","50050","50060","50060","50060","50080","50200","50200","50200","50100","50220","51230","51490","51490","51490","51490","51490","51950","52150","52150","52100","52100","52100","52300","50800","50800","50800","50800","50800","","",
"Canada","CAN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","698250","699530","700810","702080","703370","704640","701040","697430","693820","690210","686610","686130","685660","685190","684720","684250","679180","674110","669030","663960","658890","662760","666640","670510","674390","678250","678120","677980","677820","677680","677530","678140","678740","679340","679940","680550","679440","678340","677230","676130","675020","675170","675350","675510","675690","659540","652824","646108","639402","632686","625970","654460","653510","652560","","",
"Central Europe and the Baltics","CEB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","476790","476470","475850","476230","474830","475110","474340","475330","474350","473580","473070","471820","470470","470060","468950","471090","470540","469850","468720","467790","466380","466180","466080","466570","466420","466060","466390","465880","462170","461950","461720","560840","624860","621440","615910","610780","610260","605100","604520","591050","575370","562642","553227","545347","545879","544532","533505","536185.6","536005.2","526624.6","528593.1","524572.9","527089.5","526400.9","","",
